code,shortName,longName,comment
dk,dk,Dänemark,
01060003,01060003,Armstedt,Stadt / Gemeinde
01060004,01060004,"Bad Bramstedt, Stadt",Stadt / Gemeinde
01060005,01060005,"Bad Segeberg, Stadt",Stadt / Gemeinde
01060006,01060006,Bahrenhof,Stadt / Gemeinde
01060007,01060007,Bark,Stadt / Gemeinde
01060008,01060008,Bebensee,Stadt / Gemeinde
01060009,01060009,Bimöhlen,Stadt / Gemeinde
01060010,01060010,Blunk,Stadt / Gemeinde
01060011,01060011,Boostedt,Stadt / Gemeinde
01060012,01060012,Bornhöved,Stadt / Gemeinde
01060013,01060013,Borstel,Stadt / Gemeinde
01060014,01060014,"Buchholz, Forstgutsbezirk (Kr. Segeberg)",Stadt / Gemeinde
01060015,01060015,Bühnsdorf,Stadt / Gemeinde
01060016,01060016,Daldorf,Stadt / Gemeinde
01060017,01060017,Damsdorf,Stadt / Gemeinde
01060018,01060018,Dreggers,Stadt / Gemeinde
01060019,01060019,Ellerau,Stadt / Gemeinde
01060020,01060020,Fahrenkrug,Stadt / Gemeinde
01060021,01060021,Föhrden-Barl,Stadt / Gemeinde
01060022,01060022,Fredesdorf,Stadt / Gemeinde
01060023,01060023,Fuhlendorf,Stadt / Gemeinde
01060024,01060024,Geschendorf,Stadt / Gemeinde
01060025,01060025,Glasau,Stadt / Gemeinde
01060026,01060026,Gönnebek,Stadt / Gemeinde
01060027,01060027,Großenaspe,Stadt / Gemeinde
01060028,01060028,Groß Kummerfeld,Stadt / Gemeinde
01060029,01060029,Groß Niendorf,Stadt / Gemeinde
01060030,01060030,Groß Rönnau,Stadt / Gemeinde
01060031,01060031,Hagen,Stadt / Gemeinde
01060033,01060033,Hardebek,Stadt / Gemeinde
01060034,01060034,Hartenholm,Stadt / Gemeinde
01060035,01060035,Hasenkrug,Stadt / Gemeinde
01060036,01060036,Hasenmoor,Stadt / Gemeinde
01060037,01060037,Heidmoor,Stadt / Gemeinde
01060038,01060038,Heidmühlen,Stadt / Gemeinde
01060039,01060039,Henstedt-Ulzburg,Stadt / Gemeinde
01060040,01060040,Hitzhusen,Stadt / Gemeinde
01060041,01060041,Högersdorf,Stadt / Gemeinde
01060042,01060042,Hüttblek,Stadt / Gemeinde
01060043,01060043,Itzstedt,Stadt / Gemeinde
01060044,01060044,"Kaltenkirchen, Stadt",Stadt / Gemeinde
01060045,01060045,Kattendorf,Stadt / Gemeinde
01060046,01060046,Kayhude,Stadt / Gemeinde
01060047,01060047,Kisdorf,Stadt / Gemeinde
01060048,01060048,Klein Gladebrügge,Stadt / Gemeinde
01060049,01060049,Klein Rönnau,Stadt / Gemeinde
01060050,01060050,Krems II,Stadt / Gemeinde
01060051,01060051,Kükels,Stadt / Gemeinde
01060052,01060052,Latendorf,Stadt / Gemeinde
01060053,01060053,Leezen,Stadt / Gemeinde
01060054,01060054,Lentföhrden,Stadt / Gemeinde
01060056,01060056,Mönkloh,Stadt / Gemeinde
01060057,01060057,Mözen,Stadt / Gemeinde
01060058,01060058,Nahe,Stadt / Gemeinde
01060059,01060059,Negernbötel,Stadt / Gemeinde
01060060,01060060,Nehms,Stadt / Gemeinde
01060061,01060061,Neuengörs,Stadt / Gemeinde
01060062,01060062,Neversdorf,Stadt / Gemeinde
01060063,01060063,"Norderstedt, Stadt",Stadt / Gemeinde
01060064,01060064,Nützen,Stadt / Gemeinde
01060065,01060065,Oering,Stadt / Gemeinde
01060066,01060066,Oersdorf,Stadt / Gemeinde
01060067,01060067,Pronstorf,Stadt / Gemeinde
01060068,01060068,Rickling,Stadt / Gemeinde
01060069,01060069,Rohlstorf,Stadt / Gemeinde
01060070,01060070,Schackendorf,Stadt / Gemeinde
01060071,01060071,Schieren,Stadt / Gemeinde
01060072,01060072,Schmalensee,Stadt / Gemeinde
01060073,01060073,Schmalfeld,Stadt / Gemeinde
01060074,01060074,Schwissel,Stadt / Gemeinde
01060075,01060075,Seedorf (Kr. Segeberg),Stadt / Gemeinde
01060076,01060076,Seth,Stadt / Gemeinde
