code,shortName,longName,comment
1,1,Beamter auf Lebenszeit ,
2,2,Beamter auf Probe,
3,3,Beamter auf Widerruf / Lehrkraft im Vorbereitungsdienst (Referendar) / DualStudierende,
4,4,Angestellter nach TV-L,
5,5,stundenweise beschäftigte Lehrkraft,
6,6,"Ruhestandsbeamter (""Senior Teacher"")",
7,7,Angestellter an privater Schule,nur eigenständiger Unterricht
