code,shortName,longName,comment
01,01,Lehrkraft an Grund- und Hauptschulen / Lehramt an Grundschulen,
02,02,"Realschullehrkraft / Lehramt an Sekundarschulen mit dem Schwerpunkt Sek I /
Sekundarschullehrkraft mit dem Schwerpunkt Sek I / Gemeinschaftsschullehrkraft / Lehramt an Gemeinschaftsschulen",
03,03,Studienrätin / Studienrat für das Lehramt an Gymnasien / Studienrätin / Studienrat für das Lehramt an Gymnasien und Gemeinschaftsschulen (Sekundarschullehramt),
04,04,Sonderschullehrkraft / Förderzentrumslehrkraft / Lehramt Sonderpädagogik,
05,05,Studienrätin / Studienrat für das Lehramt an berufsbildenden Schulen,
06,06,Studienrätin / Studienrat für das Lehramt an Gehörlosen- und Schwerhörigenschulen,
08,08,Fachlehrkraft gewerbl.-technischer Fachrichtung (Eingangsamt A 10),
09,09,Fachlehrkraft hauswirtschaftl. Fachrichtung (Eingangsamt A 10),
10,10,Fachlehrkraft an allgemeinbildenden Schulen,
12,12,Fachlehrkraft an Schulen für Geistigbehinderte,
14,14,Berufsschul- und Fachschuloberlehrkraft,
15,15,Lehrkraft mit Abschluss einer FS für Sozialpäd. oder mit einem Abschluss einer FS für Heilpäd. oder einem dieser Abschlüsse gleichwertigen Prüfung,
16,16,Lehrkraft mit Abschluss an einer wissenschaftl. Hochschule oder Kunsthochschule,
17,17,Lehrkraft mit Abschluss an einer Fachhochschule,
18,18,Lehrkraft mit Abschluss einer Fachschule für Sozialpädagogik oder einer diesem Abschluss gleichwertigen Prüfung,
19,19,Lehrkraft mit nicht anerkannter ausländischer Lehramtsprüfung,
20,20,Lehrkraft ohne Hochschulstudium/ohne Lehrerausbildung,
21,21,Lehrkraft mit Masterabschluss / 1. Staatsexamen (auf Vorbereitungsdienst wartend),
23,23,Lehrkraft mit Bachelorabschluss,
24,24,Quereinstieg mit Abschluss,
25,25,Lehrkraft mit anderweitigem Hochschulstudium/ohne Lehrerausbildung,
26,26,Quereinstieg,
29,29,Seiteneinstieg,
27,27,Fachlehrkraft an berufsbildenden Schulen,
28,28,Berufsschullehrkraft (A12),
30,30,Duales Masterstudium Lehramt an bbS,
31,31,Direkteinstieg (nur bbS),
32,32,Duales Masterstudium Lehramt Sonderpädagogik (Studienbeginn erster Durchgang Herbstsemester 2021/22),
33,33,Duales Masterstudium Lehramt an abS,
