code,shortName,longName,comment
0,0,kein zusätzlicher Kurs,
1,1,Fachhochschulreife,
2,2,Erster allgemeinbildender Abschluss,
3,3,Deutsch als Zweitsprache (DaZ),
4,4,Mittlerer Schulabschluss,nur für AVFlex (MASS 252)
