code,shortName,longName,mass,comment
10MFA,10MFA,Medizinische Fachangestellte/Medizinischer Fachangestellter,219,3j.
10OTA,10OTA,Operationstechnische Angestellte/Operationstechnischer Angestellter,219,3j.
10TFT,10TFT,Tiermedizinische Fachangestellte/Tiermedizinischer Fachangestellter,219,3j.
10ZAF,10ZAF,Zahnmedizinische Fachangestellte/Zahnmedizinischer Fachangestellter,219,3j.
10ZTE,10ZTE,Zahntechnikerin/Zahntechniker,219,"3,5j."
11FRI,11FRI,Friseurin/Friseur,221,3j.
11KOS,11KOS,Kosmetikerin/Kosmetiker,221,3j.
12BAC,12BAC,Bäckerin/Bäcker,223,3j.
12FSG,12FSG,Fachfrau/Fachmann für Systemgastronomie,223,3j.
12FKL,12FKL,Fachkraft für Lebensmitteltechnik,223,3j.
12FGA,12FGA,Fachkraft für Gastronomie,223,2j.
12FSE,12FSE,Fachkraft für Speiseeis,223,3j.
12FKÜ,12FKÜ,Fachkraft Küche,223,2j.
12FA1,12FA1,Fachverkäuferin/Fachverkäufer im Lebensmittelhandwerk Schwerpunkt Bäckerei,223,3j.
12FA2,12FA2,Fachverkäuferin/Fachverkäufer im Lebensmittelhandwerk Schwerpunkt Fleischerei,223,3j.
12FA3,12FA3,Fachverkäuferin/Fachverkäufer im Lebensmittelhandwerk Schwerpunkt Konditorei,223,3j.
12FLE,12FLE,Fleischerin/Fleischer,223,3j.
12HAW,12HAW,Hauswirtschafterin/Hauswirtschafter,223,3j.
12HOT,12HOT,Hotelfachfrau/Hotelfachmann,223,3j.
12KHM,12KHM,Kauffrau/Kaufmann Hotelmanagement,223,3j.
12KOH,12KOH,Köchin/Koch,223,3j.
12KON,12KON,Konditorin/Konditor,223,3j.
12MFL,12MFL,Maschinen- und Anlagenführerin/Maschinen- und Anlagenführer Schwerpunkt Lebensmitteltechnik,223,2j.
12MTE,12MTE,Milchtechnologin/Milchtechnologe,223,3j.
12FRV,12FRV,Fachfrau/Fachmann für Restaurants und Veranstaltungsgastronomie,223,3j.
13FKA,13FKA,Fachkraft Agrarservice,225,3j.
13FWA,13FWA,Fischwirtin/Fischwirt FR Aquakultur- und Binnenfischerei,225,3j.
13FKH,13FKH,Fischwirtin/Fischwirt FR Küstenfischerei und kleine Hochseefischerei,225,3j.
13FLO,13FLO,Floristin/Florist,225,3j.
13FOW,13FOW,Forstwirtin/Forstwirt,225,3j.
13GÄ6,13GÄ6,Gärtnerin/Gärtner Fachrichtung Baumschule,225,3j.
13GÄ5,13GÄ5,Gärtnerin/Gärtner Fachrichtung Friedhofsgärtnerei,225,3j.
13GÄ7,13GÄ7,Gärtnerin/Gärtner Fachrichtung Garten- und Landschaftsbau,225,3j.
13GÄ1,13GÄ1,Gärtnerin/Gärtner Fachrichtung Gemüsebau,225,3j.
13GÄ3,13GÄ3,Gärtnerin/Gärtner Fachrichtung Obstbau,225,3j.
13GÄ4,13GÄ4,Gärtnerin/Gärtner Fachrichtung Staudengärtnerei,225,3j.
13GÄ2,13GÄ2,Gärtnerin/Gärtner Fachrichtung Zierpflanzenbau,225,3j.
13LWI,13LWI,Landwirtin/Landwirt,225,3j.
13PF5,13PF5,Pferdewirtin/Pferdewirt Fachrichtung Klassische Reitausbildung,225,3j.
13PF6,13PF6,Pferdewirtin/Pferdewirt Fachrichtung Pferdehaltung und Service,225,3j.
13PF7,13PF7,Pferdewirtin/Pferdewirt Fachrichtung Pferderennen,225,3j.
13PF8,13PF8,Pferdewirtin/Pferdewirt Fachrichtung Pferdezucht,225,3j.
13PF9,13PF9,Pferdewirtin/Pferdewirt Fachrichtung Spezialreitweisen,225,3j.
13TP1,13TP1,Tierpflegerin/Tierpfleger Fachrichtung Forschung und Klinik,225,3j.
13TP3,13TP3,Tierpflegerin/Tierpfleger Fachrichtung Tierheim und Tierpension,225,3j.
13TP2,13TP2,Tierpflegerin/Tierpfleger Fachrichtung Zoo,225,3j.
13TW3,13TW3,Tierwirtin/Tierwirt Fachrichtung Geflügelhaltung,225,3j.
13TW5,13TW5,Tierwirtin/Tierwirt Fachrichtung Imkerei ,225,3j.
13TW1,13TW1,Tierwirtin/Tierwirt Fachrichtung Rinderhaltung,225,3j.
13TW4,13TW4,Tierwirtin/Tierwirt Fachrichtung Schäferei,225,3j.
13TW2,13TW2,Tierwirtin/Tierwirt Fachrichtung Schweinehaltung,225,3j.
15BAW,15BAW,Bäckerwerkerin/Bäckerwerker,227,2j./3j.
15BMA,15BMA,Bau- und Metallmalerin/Bau- und Metallmaler,227,3j.
15FPF,15FPF,Fachpraktikerin/Fachpraktiker der Pferdewirtschaft,227,3j.
15FPH,15FPH,Fachpraktikerin/Fachpraktiker Hauswirtschaft,227,3j.
15FPB,15FPB,Fachpraktikerin/Fachpraktiker für Bürokommunikation,227,2j./3j.
15FPE,15FPE,Fachpraktikerin/Fachpraktiker für Elektronik,227,2j./3j.
15FEG,15FEG,Fachpraktikerin/Fachpraktiker für elektronische Geräte und Systeme,227,"2j./3./3,5j."
15FHO,15FHO,Fachpraktikerin/Fachpraktiker für Holzverarbeitung,227,2j./3j.
15FPI,15FPI,Fachpraktikerin/Fachpraktiker für IT-Support,227,3j.
15FPK,15FPK,Fachpraktikerin/Fachpraktiker für Konstruktionsmechanik (Schweißtechnik),227,3j.
15FPM,15FPM,Fachpraktiker für Metallbau,227,"3,5j."
15FKF,15FKF,Fachpraktikerin/Fachpraktiker für Kfz-Mechatroniker,227,"2j./3j./3,5j."
15FML,15FML,Fachpraktikerin Malerin und Lackiererin/Fachpraktiker Maler und Lackierer,227,3j.
15FPP,15FPP,Fachpraktikerin/Fachpraktiker für personale Dienstleistungen,227,3j.
15FPT,15FPT,Fachpraktikerin/Fachpraktiker für Technische Zeichner,227,2j./3j.
15FPZ,15FPZ,Fachpraktikerin/Fachpraktiker für Zerspanungsmechanik,227,"2j./3./3,5j."
15FZT,15FZT,Fachpraktiker für Zerspanungstechnik,227,"2j./3./3,5j."
15FZM,15FZM,Fachpraktikerin/Fachpraktiker für Zweiradmechatroniker Fachrichtung Fahrradtechnik,227,"3j./3,5j., neu ab 08/2024"
15FPL,15FPL,Fachpraktikerin/Fachpraktiker im Lagerbereich,227,2j./3j.
15FPV,15FPV,Fachpraktikerin/Fachpraktiker im Verkauf,227,2j.
15FKÜ,15FKÜ,Fachpraktikerin/Fachpraktiker Küche (Beikoch),227,2j./3j.
15FWR,15FWR,Fachwerkerin/Fachwerker für Recycling,227,2j./3j.
15FZP,15FZP,Fahrzeugpflegerin/Fahrzeugpfleger,227,2j./3j.
15HMH,15HMH,Hausmeisterhelferin/Hausmeisterhelfer,227,3j.
15HGA,15HGA,Helferin/Helfer im Gastgewerbe,227,
15HIT,15HIT,Helferin/Helfer im Trockenbau,227,2j./3j.
15HBE,15HBE,Holzbearbeiterin/Holzbearbeiter,227,3j.
15LFH,15LFH,Lagerfachhelferin/Lagerfachhelfer,227,2j./3j.
15MBE,15MBE,Metallbearbeiterin/Metallbearbeiter,227,2j./3j.
15MFE,15MFE,Metallfeinbearbeiterin/Metallfeinbearbeiter,227,2j./3j.
15RAS,15RAS,Raumausstatterwerkerin/Raumausstatterwerker,227,3j.
15TRW,15TRW,Textilreiniger-Werkerin/Textilreiniger-Werker,227,3j.
15VKH,15VKH,Verkaufshelferin/Verkaufshelfer,227,2j.
15LWW,15LWW,Werkerin/Werker in der Landwirtschaft,227,3j.
15WIG,15WIG,Werkerin/Werker im Gartenbau,227,3j.
15WMS,15WMS,Werkzeugmaschinenspanerin/Werkzeugmaschinenspaner (Drehen),227,"2,5/3,5j."
15WMF,15WMF,Werkzeugmaschinenspanerin/Werkzeugmaschinenspaner (Fräsen),227,"2,5/3,5j."
15ZRM,15ZRM,Zweiradmechanikerwerkerin/Zweiradmechanikerwerker,227,3j. auslaufend (ab 2024)
