code,shortName,longName,mass,comment
02FW1,02FW1,Feinwerkmechanikerin/Feinwerkmechaniker Schwerpunkt Feinmechanik,203,"3,5j."
02FW3,02FW3,Feinwerkmechanikerin/Feinwerkmechaniker Schwerpunkt Maschinenbau,203,"3,5j."
02FW2,02FW2,Feinwerkmechanikerin/Feinwerkmechaniker Schwerpunkt Werkzeugbau,203,"3,5j."
02FW4,02FW4,Feinwerkmechanikerin/Feinwerkmechaniker Schwerpunkt Zerspanungstechnik,203,"3,5j."
02FEM,02FEM,Fertigungsmechanikerin/Fertigungsmechaniker,203,3j.
02FL1,02FL1,Fluggerätmechanikerin/Fluggerätmechaniker Fachrichtung Fertigungstechnik,203,"3,5j."
02FL2,02FL2,Fluggerätmechanikerin/Fluggerätmechaniker Fachrichtung Instandhaltungstechnik,203,"3,5j."
02FL3,02FL3,Fluggerätmechanikerin/Fluggerätmechaniker Fachrichtung Triebwerkstechnik,203,"3,5j."
02GIM,02GIM,Gießereimechanikerin/Gießereimechaniker,203,"3,5j."
02GI1,02GI1,Gießereimechanikerin/Gießereimechaniker Schwerpunkt Druck- und Kokillenguss,203,"3,5j."
02GI4,02GI4,Gießereimechanikerin/Gießereimechaniker Schwerpunkt Feinguss,203,"3,5j."
02GI2,02GI2,Gießereimechanikerin/Gießereimechaniker Schwerpunkt Handformguss,203,"3,5j."
02GI6,02GI6,Gießereimechanikerin/Gießereimechaniker Schwerpunkt Kernherstellung,203,"3,5j."
02GI3,02GI3,Gießereimechanikerin/Gießereimechaniker Schwerpunkt Maschinenformguss,203,"3,5j."
02GI5,02GI5,Gießereimechanikerin/Gießereimechaniker Schwerpunkt Schmelzbetrieb,203,"3,5j."
02INM,02INM,Industriemechanikerin/Industriemechaniker,203,"3,5j."
02KF3,02KF3,Karosserie- und Fahrzeugbaumechanikerin/-mechaniker Fachrichtung Karosserie- und Fahrzeugbautechnik,203,"3,5j."
