code,shortName,longName,comment
003,003,Physik,
006,006,Kunst,
007,007,Bildhaftes Gestalten/Design,
008,008,Biologie,
009,009,Gemeinschaftskunde,
010,010,Chemie,
012,012,Mathematik,
013,013,Datenverarbeitung/Informatik,
014,014,Deutsch,
017,017,Geographie,
018,018,Verbraucherbildung,
019,019,Astronomie,
020,020,Politik,
023,023,Geschichte,
024,024,Altgriechisch,
025,025,Geologie,
026,026,Sport,
046,046,Sport/Sporttheorie,nur für Schüler in der Sek II mit Profilfach Sport
027,027,Textillehre,
028,028,Neugriechisch,
031,031,Italienisch,
036,036,Musik,
037,037,Kunstgeschichte,
038,038,Philosophie,
039,039,Wirtschaft/Politik,
040,040,Orchester/Chor,nur AGs
041,041,Rechtskunde,
047,047,Sachunterricht,
052,052,Türkisch,
053,053,Technik,
054,054,Polnisch,
056,056,Technisches Werken,
074,074,Deutsch als Zweitsprache,
075,075,Friesisch,
076,076,Niederdeutsch,
083,083,Heilpädagogik,
089,089,Sonderpädagogik,
093,093,Eurythmie,
094,094,Naturwissenschaft,
098,098,Lernzeit / freies Lernen / Eigenverantwortliches Lernen in der Schule (EVA),
099,099,Klassenlehrerstunde / Klassenrat / Eingangszeit,
101,101,Schwimmen,
102,102,Verkehrserziehung,
111,111,Dänisch - 1. Fremdsprache,
115,115,Weltkunde,
116,116,Englisch - 1. Fremdsprache,
117,117,Wirtschaftslehre/Wirtschaft,
122,122,Französisch - 1. Fremdsprache,
132,132,Latein - 1. Fremdsprache,
141,141,Ethik,nur Waldorfschulen
142,142,Islamkunde,
143,143,"Religion, katholisch",
144,144,"Religion, evangelisch",
145,145,Religion (konfessionell-kooperativ),nur im Rahmen des Schulversuchs an ausgewählten Schulen
151,151,Spanisch - 1. Fremdsprache,nur für Muttersprachler bzw. Zugezogene
211,211,Dänisch - 2. Fremdsprache,
216,216,Englisch - 2. Fremdsprache,
222,222,Französisch - 2. Fremdsprache,
232,232,Latein - 2. Fremdsprache,
251,251,Spanisch - 2. Fremdsprache,
311,311,Dänisch - 3. Fremdsprache,
316,316,Englisch - 3. Fremdsprache,
322,322,Französisch - 3. Fremdsprache,
332,332,Latein - 3. Fremdsprache,
345,345,Russisch - 3. Fremdsprache,
351,351,Spanisch - 3. Fremdsprache,
411,411,Dänisch - 4. Fremdsprache,
422,422,Französisch - 4. Fremdsprache,
432,432,Latein - 4. Fremdsprache,
445,445,Russisch - 4. Fremdsprache,
451,451,Spanisch - 4. Fremdsprache,
511,511,Dänisch - 5. Fremdsprache,nur abS
522,522,Französisch - 5. Fremdsprache,nur abS
532,532,Latein - 5. Fremdsprache,nur abS
545,545,Russisch - 5. Fremdsprache,nur abS
551,551,Spanisch - 5. Fremdsprache,nur abS
452,452,sonstige moderne Fremdsprachen,
453,453,sonstige alte Fremdsprachen,
455,455,Chinesisch,
500,500,Agrartechnik mit Biologie,
501,501,Bautechnik,
502,502,Darstellendes Spiel,
503,503,Datenverarbeitungstechnik,
504,504,Elektrotechnik,
505,505,Ernährungslehre mit Chemie,
507,507,Gesundheit / Gesundheit und Pflege,
508,508,Literatur,nur AGs
509,509,Maschinenbautechnik,
510,510,Pädagogik/Psychologie,
512,512,Rechnungswesen,
513,513,Rechtslehre / Recht,
514,514,Sporttheorie,
515,515,Wirtschaftsgeographie,
516,516,Wirtschaftstheorie und -politik,
517,517,Wirtschaftsenglisch,
607,607,Profilseminar,nur Q1 / Q2
608,608,BO-Seminar,nur E
701,701,"Natur-, sozial- und gesellschaftswissenschaftlicher Fachbereich","nur für Ersatzschulen mit demokratischem Konzept, nur Primarstufe"
702,702,"Ästhetische und Technische Bildung, Sport",
710,710,Gesellschaftswissenschaften,"nur für Ersatzschulen mit demokratischem Konzept, nur Sekundarstufe"
711,711,Ästhetische Bildung und Sport,
712,712,"Arbeit, Wirtschaft, Verbraucherbildung",
910,910,Seminarfach,
911,911,Projektunterricht,
912,912,Unterricht in Praxis-Klasse / Zeit im Betrieb,nur für Praxis-Klassen
913,913,Kommunikation und Präsentation (Lernen in der Schule),"nur für Klassen im Rahmen ""Produktives Lernen"""
914,914,Lernen in der Praxis,"nur für Klassen im Rahmen ""Produktives Lernen"", beinhaltet Wahlpflichtunterricht und individuelle Bildungsberatung"
916,916,Arbeitsgemeinschaft (AG),nur von Lehrern erteilte AGs sind zu melden
930,930,WPU - Angewandte Informatik,
923,923,WPU - Arbeit/Wirtschaft und Verbraucherbildung,
924,924,WPU - Ästhetische Bildung,
931,931,WPU - Darstellendes Spiel,
933,933,WPU - Deutsche Gebärdensprache (DGS),
922,922,WPU - Gesellschaftswissenschaften,
919,919,WPU - Gestalten,
921,921,WPU - Naturwissenschaften,
925,925,WPU - Sport,
929,929,WPU - Technik,
932,932,WPU - Textillehre,
928,928,WPU - Wirtschaftslehre,
970,970,WPU - sonstiges Fach,
999,999,sonstiges Fach / sonstiger Kurs,
