code,shortName,longName,postalCode,locality,comment
0799856,0799856,"Gustav Johannsen-Skolen, Gemeinschaftsschule mit Grundschul- und Förderzentrumsteil",24939,Flensburg,
0703150,0703150,"Gustav-Hansen-Schule, Förderzentrum Lernen",24539,Neumünster,
0703052,0703052,"Gutenbergschule, Förderzentrum Lernen",24116,Kiel,
0703302,0703302,"Hachede-Schule, Förderzentrum geistige Entwicklung",21502,Geesthacht,
0799808,0799808,"Hans Helgesen-Skolen, Grundschule mit Gemeinschaftsschulteil",25840,Friedrichstadt,
0799831,0799831,"Hanved Danske Skole, Grundschule mit Gemeinschaftsschulteil",24983,Handewitt,
0799850,0799850,"Harreslev-Kobbermolle  Danske Skole, Grundschule mit Gemeinschaftsschulteil",24955,Harrislee,
0799845,0799845,"Hatlund - Langballe Danske Skole, Grundschule mit Gemeinschaftsschulteil",24972,Steinbergkirche,
0703460,0703460,"Heideweg-Schule, Förderzentrum geistige Entwicklung",25482,Appen,
0799451,0799451,"Heilpädagogisches Förderzentrum Friedrichshulde, staatlich genehmigte Förderschule in freier Trägerschaft",22869,Schenefeld,
0799751,0799751,"Heimförderschule Haus Arild, Schule für Seelenpflegebedürftige",23847,Bliestorf,
0703558,0703558,"Helene-Dieckmann-Schule, Förderzentrum Lernen für Altenholz-Gettorf-Kronshagen",24161,Altenholz,
0703565,0703565,"Helen-Keller-Schule, Landesförderzentrum körperliche und motorische Entwicklung",24351,Damp,
0799857,0799857,"Hiort Lorenzen Skolen, Grundschule mit Gemeinschaftsschulteil",24837,Schleswig,
0799849,0799849,"Husby Danske Skole, Grundschule mit Gemeinschaftsschulteil",24975,Husby,
0799828,0799828,"Husum Danske Skole, Gemeinschaftsschule mit Grundschul- und Förderzentrumsteil",25813,Husum,
0707351,0707351,"Inselschule Fehmarn, Gemeinschaftsschule mit Oberstufe und Förderzentrumsteil",23769,"Fehmarn, OT Burg",
0703664,0703664,"Janusz-Korczak-Schule, Förderzentrum geistige Entwicklung",24568,Kaltenkirchen,
0799848,0799848,"Jaruplund Danske Skole, Grundschule mit Gemeinschaftsschulteil",24976,Handewitt,
0799862,0799862,"Jens-Jessen-Skolen, Gemeinschaftsschule mit Grundschulteil",24944,Flensburg,
0799865,0799865,"Jernved Danske Skole, Grundschule mit Gemeinschaftsschulteil",24229,Dänischenhagen,
0799827,0799827,"Jes Kruse-Skolen, Gemeinschaftsschule mit Grundschul- und Förderzentrumsteil",24340,Eckernförde,
0799111,0799111,"Johannes-Prassek-Schule, Grundschule - Ersatzschule -",23560,Lübeck,
0703504,0703504,"Johann-Heinrich-Pestalozzi-Schule, FöZ Lernen - Sprache - emotionale und soziale Entwicklung",24211,Preetz,
0799800,0799800,"Jörgensby-Skolen, Grundschule mit Gemeinschaftsschul- und Förderzentrumsteil",24943,Flensburg,
0799847,0799847,"Kaj Munk-Skolen, Grundschule mit Gemeinschaftsschulteil",24376,Kappeln,
0799861,0799861,"Ladelund Ungdomsskole, Internat",25926,Ladelund,
0799814,0799814,"Laek Danske Skole, Dänische Gemeinschaftsschule, mit Grundschul- und Förderzentrumsteil",25917,Leck,
0799550,0799550,"Landerziehungsheim Stiftung Louisenlund, Internatsgymnasium / Boarding School - IB World School",24357,Güby,
0703568,0703568,"Landesförderzentrum ""Autistisches Verhalten""",24119,Kronshagen,
0703604,0703604,"Landesförderzentrum Hören + Kommunikation, Georg-Wilhelm-Pfingsten-Schule",24837,Schleswig,
0703609,0703609,Landesförderzentrum Sehen,24837,Schleswig,
0703512,0703512,"Landesförderzentrum, körperliche und motorische Entwicklung",24223,Schwentinental,
0799455,0799455,"Leibniz Privatschule Elmshorn, Grund-, Gemeinschaftsschule und Gymnasium",25337,Elmshorn,
0799456,0799456,"Leibniz Privatschule Kaltenkirchen, Grund-, Gemeinschaftsschule und Gymnasium",24568,Kaltenkirchen,
0799085,0799085,"Lerndorf mona, Grund- und Gemeinschaftsschule",23860,Groß Schenkenberg,
0799080,0799080,"Lernwerft, Club of Rome Schule Kiel",24159,Kiel,
0703062,0703062,"Lilli-Nielsen-Schule, Förderzentrum, für körperliche und motorische sowie geistige Entwicklung",24109,Kiel,
0799853,0799853,"Lyksborg Danske Skole, Grundschule mit Gemeinschaftsschulteil",24960,Glücksburg,
0703110,0703110,"Maria-Montessori-Schule, Förderzentrum geistige Entwicklung",23566,Lübeck,
0703108,0703108,"Matthias-Leithoff-Schule, Förderzentrum körperliche und motorische Entwicklung",23569,Lübeck,
0703006,0703006,"Max von der Grün-Schule, Förderzentrum der Stadt Flensburg, mit dem Schwerpunkt körperliche und motorische Entwicklung",24943,Flensburg,
0799844,0799844,"Medelby Danske Skole, Grundschule mit Gemeinschaftsschulteil",24994,Medelby,
0799404,0799404,"Montessori-Schule Fehmarn, Grund- und Gemeinschaftsschule",23769,"Fehmarn, OT Burg",
0799558,0799558,Neue Waldorfschule Rendsburg,24768,Rendsburg,
0799461,0799461,Next - Christliche Schule Elmshorn,25337,Elmshorn,
0799817,0799817,"Niböl Danske Skole, Grundschule mit Gemeinschaftsschulteil",25899,Niebüll,
0799801,0799801,"Oksevejens Skole, Grundschule mit Gemeinschaftsschulteil",24941,Flensburg,
0707312,0707312,"Öömrang Skuul, Grund- und Gemeinschaftsschule mit Förderzentrumsteil",25946,Nebel,
0799011,0799011,"Ostseeschule Flensburg, Grund- und Gemeinschaftsschule",24944,Flensburg,
0799109,0799109,"Paul-Burwick-Schule, Staatl. anerk. FöZ mit Schwerpunkt geistige Entwicklung",23554,Lübeck,
0703001,0703001,"Paulus-Paulsen-Schule, FöZ Lernen - Sprache - emotionale und soziale Entwicklung",24943,Flensburg,
0703458,0703458,"Pestalozzi-Förderzentrum, der Stadt Wedel",22880,Wedel,
0703551,0703551,"Pestalozzi-Schule, Förderzentrum Lernen Eckernförde",24340,Eckernförde,
0703352,0703352,"Pestalozzi-Schule, Förderzentrum Lernen Husum",25813,Husum,
0703702,0703702,"Pestalozzi-Schule, Förderzentrum Lernen Itzehoe",25524,Itzehoe,
0703305,0703305,"Pestalozzischule, Förderzentrum Ratzeburg",23909,Ratzeburg,
0703608,0703608,"Peter-Härtling-Schule, Förderzentrum geistige Entwicklung",24837,Schleswig,
0799301,0799301,"Privatschule Oldenswort, - Ersatzschule -",25870,Oldenswort,
0703461,0703461,"Raboisenschule, Förderzentrum geistige Entwicklung",25336,Elmshorn,
0799818,0799818,"Risum Skole / Risem Schölj, Grundschule mit Gemeinschaftsschulteil",25920,Risum-Lindholm,
0799072,0799072,"Rudolf-Steiner-Schule, Schule für Seelenpflege-bedürftige Kinder",24113,Kiel,
0702411,0702411,"Rüm-Hart-Schule, Grundschule mit Förderzentrumsteil",25938,Wyk auf Föhr,
0703358,0703358,"Rungholtschule, Förderzentrum geistige Entwicklung",25813,Husum,
0799842,0799842,"Satrup Danske Skole, Grundschule mit Gemeinschaftsschulteil",24986,"Mittelangeln, OT Satrup",
0703050,0703050,"Schule am Göteborgring, Förderzentrum Lernen",24109,Kiel,
0703663,0703663,"Schule am Hasenstieg, Förderzentrum geistige Entwicklung",22846,Norderstedt,
0703400,0703400,"Schule Am Hochkamp, Förderzentrum Lernen",23611,Bad Schwartau,
0703513,0703513,"Schule am Kührener Berg, Förderzentrum geistige Entwicklung",24211,Preetz,
0703751,0703751,"Schule am Kurpark, Förderzentrum Lernen",23843,Bad Oldesloe,
0703653,0703653,"Schule am Lakweg, Förderzentrum Lernen",24568,Kaltenkirchen,
0703607,0703607,"Schule am Markt, Förderzentrum geistige Entwicklung",24392,Süderbrarup,
0703564,0703564,"Schule am Noor, Förderzentrum geistige Entwicklung",24340,Eckernförde,
0702404,0702404,"Schule am Ostertor, Grundschule der Stadt Tönning in Tönning",25832,Tönning,
0703413,0703413,"Schule am Papenmoor, Förderzentrum geistige Entwicklung",23611,Bad Schwartau,
0703405,0703405,"Schule am Rosengarten, Förderzentrum Lernen",23730,Neustadt in Holstein,
0702280,0702280,"Schule am Steinautal, Grundschule mit Förderzentrumsteil Lernen",21514,Büchen,
0707559,0707559,"Schule am Thorsberger Moor, Gemeinschaftsschule Süderbrarup",24392,Süderbrarup,
0703508,0703508,"Schule an den Eichen, Förderzentrum geistige Entwicklung",24589,Nortorf,
0703566,0703566,"Schule Hochfeld, Förderzentrum geistige Entwicklung",24768,Rendsburg,
0703414,0703414,"Schule Kastanienhof, Förderzentrum, des Kreises Ostholstein mit Außenstelle in Lensahn",23758,Oldenburg in Holstein,
0703309,0703309,"Schule Steinfeld, Förderzentrum geistige Entwicklung",23879,Mölln,
0703107,0703107,"Schule Wilhelmshöhe, Förderzentrum geistige Entwicklung",23554,Lübeck,
0799452,0799452,"Schülerschule, Gemeinschaftsschule mit Grundschulteil",25421,Pinneberg,
0799823,0799823,"Sild Danske Skole, Grundschule mit Gemeinschaftsschulteil",25980,"Sylt, OT Westerland",
0799832,0799832,"Skovlund-Valsboel Danske Skole, Grundschule mit Gemeinschaftsschulteil",24980,Schafflund,
0799838,0799838,"Sönder Brarup Danske Skole, Dänische Gemeinschaftsschule, mit Grundschul- und Förderzentrumsteil, staatlich anerkannt",24392,Süderbrarup,
0799839,0799839,"Sörup Danske Skole, Grundschule mit Gemeinschaftsschulteil",24966,Sörup,
