code,shortName,longName
KITA,KiTa-Gruppe,KiTa-Gruppe
KIGA,KiGa-Gruppe,KiGa-Gruppe
HORT,Hortgruppe,Hortgruppe
KLAS,Klasse,Klasse
JAHR,Jahrgang,Jahrgang
SONS,Sonstig,Sonstige Gruppe
