code,shortName,longName
AUSB,Ausbilder:in,Ausbilder:in
DOZN,Dozent:in,Dozent:in
ERZI,Erzieher:in,Erzieher:in
EZBE,Erziehungsberechtigte:r,Erziehungsberechtigte:r
KIND,Kind,Kind
LEHR,Lehrkraft,Lehrkraft
MITA,Mitarbeiter:in,Mitarbeiter:in
SCHÜ,Schüler:in,Schüler:in
SOBE,Sorgberechtigte:r,Sorgberechtigte:r
STUD,Student:in,Student:in
